Account name,ALNEX
Time zone,'+09:00
Downloaded on,2025/07/30 14:14
Sender type,Sender name,Date,Time,Message
Account,Unknown,2025/04/21,16:39:49,มีข้อมูลส่วนใดต้องการให้ผมช่วยอธิบายเพิ่มเติมไหมครับคุณภาณุพงศ์
User,PROTEHX,2025/04/21,16:56:51,ไม่มีครับ เด่วจัดซื้อโอนเรียบร้อยแล้วผมแจ้งนะครับ
Account,Unknown,2025/04/21,18:06:03,"รับทราบครับคุณภาณุพงศ์ 
ขอบพระคุณครับ"
Account,Khunakorn,2025/06/26,18:47:18,"สวัสดีครับคุณเต้
ผมขออนุญาตติดตามสถานะงานอัพเดตหน่อยนะครับ
พอจะแจ้งกำหนดวันที่ฝ่ายจัดซื้อจะดำเนินการโอนชำระมัดจำได้ไหมครับคุณเต้"
User,PROTEHX,2025/06/26,19:08:44,ประมาณสิ้นเดือนนี้ครับ ตอนนี้หน้างาน 80% แล้วครับ
Account,Unknown,2025/06/26,19:08:45,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Khunakorn,2025/06/26,19:11:06,ขอบคุณครับคุณเต้
User,PROTEHX,2025/06/30,18:15:41,You sent a photo.
User,PROTEHX,2025/06/30,18:16:23,เรียบร้อยครับคุณหนุ่ย
Account,Khunakorn,2025/06/30,18:20:44,ขอบพระคุณครับ
Account,Khunakorn,2025/06/30,18:21:15,ผมแจ้งทีมงานให้เริ่มดำเนินการเขียนแบบในระบบแล้วครับ
User,PROTEHX,2025/06/30,18:25:48,โอเครครับ ช่างหน้างานต้องเตรียมงานระบบหรืออะไรเพิ่มเติมแจ้งผมได้เลยนะครับ
Account,Khunakorn,2025/06/30,18:38:07,รับทราบครับคุณภาณุพงศ์
Account,Khunakorn,2025/07/21,13:29:30,"สวัสดีครับคุณเต้ผมรบกวนสอบถามเพิ่มเติมนะครับว่า
หน้างานต้องการให้เข้าติดตั้งช่วงเดือนสิงหาคมหรือกันยายน
ตั้งแต่ช่วงวันใดครับ"
User,PROTEHX,2025/07/21,14:10:58,ตอนนี้หน้างานพร้อมให้เข้าติดตั้งแล้วครับคุณหนุ่ย สามารถระบุวันเข้าติดตั้งกับผมได้เลยครับ ยกเว้นเสาร์และอาทิตย์ครับ
Account,Khunakorn,2025/07/22,11:37:56,"รับทราบครับคุณเต้ 
ผมแจ้งข้อมูลกับทีมงานไว้แล้วครับ"
Account,Khunakorn,2025/07/30,11:14:11,You sent a photo.
User,PROTEHX,2025/07/30,14:12:41,You sent a photo.
User,PROTEHX,2025/07/30,14:12:55,ถูกต้องไหมครับ
