Account name,ALNEX
Time zone,'+09:00
Downloaded on,2025/07/30 14:16
Sender type,Sender name,Date,Time,Message
Account,Unknown,2025/06/13,16:01:16,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
Account,Unknown,2025/06/17,16:29:37,carousel
User,Thitima42 ♾️,2025/06/17,20:43:54,GATE Product (Copy)
Account,Unknown,2025/06/17,20:43:55,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
User,Thitima42 ♾️,2025/06/17,20:44:09,GATE Product (Copy)
Account,Unknown,2025/06/17,20:44:10,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/06/17,20:44:11,carousel
User,Thitima42 ♾️,2025/06/17,20:49:53,GATE
Account,Unknown,2025/06/17,20:49:54,carousel
Account,Unknown,2025/06/17,20:49:55,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/06/17,20:49:55,carousel
Account,Unknown,2025/06/17,20:49:56,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/06/17,21:01:48,"CANOPY Product

"
Account,Unknown,2025/06/17,21:01:49,carousel
Account,Unknown,2025/06/17,21:01:50,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Mark,2025/06/18,10:52:36,คุณลูกค้าสนใจสินค้าประเภทใดสามารถสอบถามได้นะครับ 
User,Thitima42 ♾️,2025/06/18,12:18:41, CARPORT Product
Account,Unknown,2025/06/18,12:18:42,carousel
User,Thitima42 ♾️,2025/06/18,12:18:56,CANOPY Product
Account,Unknown,2025/06/18,12:18:57,carousel
User,Thitima42 ♾️,2025/06/18,12:19:17,GATE Product
Account,Unknown,2025/06/18,12:19:19,carousel
User,Thitima42 ♾️,2025/06/18,12:19:36,BALUSTRADE Product
Account,Unknown,2025/06/18,12:19:37,carousel
User,Thitima42 ♾️,2025/06/18,12:19:53,BATTENS & FAÇADE Product
Account,Unknown,2025/06/18,12:19:55,carousel
User,Thitima42 ♾️,2025/06/27,17:41:40,hi test from ommm
Account,Unknown,2025/06/27,17:41:58,สวัสดีครับ
User,Thitima42 ♾️,2025/07/03,15:44:01,Test from omoo
User,Thitima42 ♾️,2025/07/03,15:44:35,สินค้า ALNEX
Account,Unknown,2025/07/03,15:44:37,carousel
Account,Unknown,2025/07/03,15:44:37,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,15:48:52,สินค้า ALNEX
Account,Unknown,2025/07/03,15:48:53,carousel
Account,Unknown,2025/07/03,15:48:54,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,15:50:01,สินค้า ALNEX
Account,Unknown,2025/07/03,15:50:02,carousel
Account,Unknown,2025/07/03,15:50:02,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,15:59:24,Test
User,Thitima42 ♾️,2025/07/03,15:59:33,สินค้า ALNEX
Account,Unknown,2025/07/03,15:59:35,carousel
Account,Unknown,2025/07/03,15:59:36,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:06:41,สินค้า ALNEX
Account,Unknown,2025/07/03,16:06:42,carousel
Account,Unknown,2025/07/03,16:06:42,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:07:07,แจ้งซ่อม
Account,Unknown,2025/07/03,16:07:08,"ALNEX ขออภัยสำหรับความไม่สะดวกที่เกิดขึ้นจากสินค้าของเรา ท่านสามารถแจ้งรายละเอียดเพิ่ม ดังนี้ 
1. ชื่อ-นามสกุล และเบอร์โทรศัพท์ ที่ลงทะเบียนไว้ในระบบ 
2. สินค้าและปัญหาการชำรุดเสียหาย 
3. แนบรูปและวิดิโอของสินค้าที่ต้องการซ่อม ทีมบริการหลังการขายจะติดต่อกลับท่านโดยเร็วที่สุด"
Account,Unknown,2025/07/03,16:07:08,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:07:10,นัดสำรวจพื้นที่
Account,Unknown,2025/07/03,16:07:10,"รบกวนขอข้อมูลเพื่อเตรียมการนัดสำรวจ ดังนี้ค่ะ

1. สินค้าและรูปแบบที่ท่านสนใจ

2. รูปภาพบริเวณที่จะติดตั้งสินค้า

3. ที่อยู่ สำหรับการติดตั้งสินค้า และขอ Location แบบ Google Map

4. ชื่อและเบอร์โทรติดต่อหน้างาน (สำหรับติดต่อตอนสำรวจหน้างาน)"
Account,Unknown,2025/07/03,16:07:11,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:07:14,VDO แนะนำสินค้า
Account,Unknown,2025/07/03,16:07:15,carousel
Account,Unknown,2025/07/03,16:07:16,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:07:20,สินค้า ALNEX
Account,Unknown,2025/07/03,16:07:20,carousel
Account,Unknown,2025/07/03,16:07:21,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:09:04,สินค้า ALNEX
Account,Unknown,2025/07/03,16:09:05,carousel
Account,Unknown,2025/07/03,16:09:05,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:09:11,VDO แนะนำสินค้า
Account,Unknown,2025/07/03,16:09:12,carousel
User,Thitima42 ♾️,2025/07/03,16:31:18,แจ้งซ่อม
User,Thitima42 ♾️,2025/07/03,16:31:40,ประตูเสีย
Account,Unknown,2025/07/03,16:31:41,"ALNEX ขออภัยสำหรับความไม่สะดวกที่เกิดขึ้นจากสินค้าของเรา ท่านสามารถแจ้งรายละเอียดเพิ่ม ดังนี้ 
1. ชื่อ-นามสกุล และเบอร์โทรศัพท์ ที่ลงทะเบียนไว้ในระบบ 
2. สินค้าและปัญหาการชำรุดเสียหาย 
3. แนบรูปและวิดิโอของสินค้าที่ต้องการซ่อม ทีมบริการหลังการขายจะติดต่อกลับท่านโดยเร็วที่สุด"
User,Thitima42 ♾️,2025/07/03,16:32:25,แจ้งซ่อม
Account,Unknown,2025/07/03,16:32:26,"ALNEX ขออภัยสำหรับความไม่สะดวกที่เกิดขึ้นจากสินค้าของเรา ท่านสามารถแจ้งรายละเอียดเพิ่ม ดังนี้ 
1. ชื่อ-นามสกุล และเบอร์โทรศัพท์ ที่ลงทะเบียนไว้ในระบบ 
2. สินค้าและปัญหาการชำรุดเสียหาย 
3. แนบรูปและวิดิโอของสินค้าที่ต้องการซ่อม ทีมบริการหลังการขายจะติดต่อกลับท่านโดยเร็วที่สุด"
Account,Unknown,2025/07/03,16:32:26,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,16:40:59,แจ้งซ่อม
Account,Unknown,2025/07/03,16:41:01,"ALNEX ขออภัยสำหรับความไม่สะดวกที่เกิดขึ้นจากสินค้าของเรา ท่านสามารถแจ้งรายละเอียดเพิ่ม ดังนี้ 
1. ชื่อ-นามสกุล และเบอร์โทรศัพท์ ที่ลงทะเบียนไว้ในระบบ 
2. สินค้าและปัญหาการชำรุดเสียหาย 
3. แนบรูปและวิดิโอของสินค้าที่ต้องการซ่อม ทีมบริการหลังการขายจะติดต่อกลับท่านโดยเร็วที่สุด"
User,Thitima42 ♾️,2025/07/03,16:56:31,แจ้งซ่อม
Account,Unknown,2025/07/03,16:56:32,"ALNEX ขออภัยสำหรับความไม่สะดวกที่เกิดขึ้นจากสินค้าของเรา ท่านสามารถแจ้งรายละเอียดเพิ่ม ดังนี้ 
1. ชื่อ-นามสกุล และเบอร์โทรศัพท์ ที่ลงทะเบียนไว้ในระบบ 
2. สินค้าและปัญหาการชำรุดเสียหาย 
3. แนบรูปและวิดิโอของสินค้าที่ต้องการซ่อม ทีมบริการหลังการขายจะติดต่อกลับท่านโดยเร็วที่สุด"
User,Thitima42 ♾️,2025/07/03,17:01:54,แจ้งซ่อม
User,Thitima42 ♾️,2025/07/03,17:02:42,แจ้งซ่อม
User,Thitima42 ♾️,2025/07/03,17:39:20,สินค้า ALNEX
Account,Unknown,2025/07/03,17:39:22,carousel
Account,Unknown,2025/07/03,17:39:22,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,17:39:27,แจ้งซ่อม
User,Thitima42 ♾️,2025/07/03,17:39:32,สินค้า ALNEX
Account,Unknown,2025/07/03,17:39:32,carousel
Account,Unknown,2025/07/03,17:39:33,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,17:39:36,VDO แนะนำสินค้า
Account,Unknown,2025/07/03,17:39:37,carousel
Account,Unknown,2025/07/03,17:39:37,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,17:39:39,นัดสำรวจพื้นที่
Account,Unknown,2025/07/03,17:39:40,"รบกวนขอข้อมูลเพื่อเตรียมการนัดสำรวจ ดังนี้ค่ะ

1. สินค้าและรูปแบบที่ท่านสนใจ

2. รูปภาพบริเวณที่จะติดตั้งสินค้า

3. ที่อยู่ สำหรับการติดตั้งสินค้า และขอ Location แบบ Google Map

4. ชื่อและเบอร์โทรติดต่อหน้างาน (สำหรับติดต่อตอนสำรวจหน้างาน)"
Account,Unknown,2025/07/03,17:39:40,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,17:40:17,สินค้า ALNEX
Account,Unknown,2025/07/03,17:40:18,carousel
Account,Unknown,2025/07/03,17:40:18,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,17:40:21,แจ้งซ่อม
Account,Unknown,2025/07/03,17:40:22,"ALNEX ขออภัยสำหรับความไม่สะดวกที่เกิดขึ้นจากสินค้าของเรา ท่านสามารถแจ้งรายละเอียดเพิ่ม ดังนี้ 
1. ชื่อ-นามสกุล และเบอร์โทรศัพท์ ที่ลงทะเบียนไว้ในระบบ 
2. สินค้าและปัญหาการชำรุดเสียหาย 
3. แนบรูปและวิดิโอของสินค้าที่ต้องการซ่อม ทีมบริการหลังการขายจะติดต่อกลับท่านโดยเร็วที่สุด"
Account,Unknown,2025/07/03,17:40:22,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,17:52:41,FB_Q_เมนูหลัก
Account,Unknown,2025/07/03,17:52:42,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/03,19:57:09,แจ้งซ่อม
Account,Unknown,2025/07/03,19:57:10,"ALNEX ขออภัยสำหรับความไม่สะดวกที่เกิดขึ้นจากสินค้าของเรา ท่านสามารถแจ้งรายละเอียดเพิ่ม ดังนี้ 
1. ชื่อ-นามสกุล และเบอร์โทรศัพท์ ที่ลงทะเบียนไว้ในระบบ 
2. สินค้าและปัญหาการชำรุดเสียหาย 
3. แนบรูปและวิดิโอของสินค้าที่ต้องการซ่อม ทีมบริการหลังการขายจะติดต่อกลับท่านโดยเร็วที่สุด"
Account,Unknown,2025/07/03,19:57:11,"ขณะนี้เป็นนอกเวลาทำการ ทีมงาน ALNEX จะติดต่อกลับท่านโดยเร็วที่สุดในวันและเวลาทำการ วันจันทร์-วันเสาร์ เวลา 8:30 - 17:00 น.
ท่านสามารถดูรายละเอียดสินค้าเบื้องต้นได้ตามตัวเลือกด้านล่างนี้"
Account,Unknown,2025/07/03,19:57:11,ท่านสามารถเลือกบริการอื่น ๆ เพิ่มเติม
User,Thitima42 ♾️,2025/07/09,20:30:32,เทส
Account,Unknown,2025/07/09,20:30:32,"ประกาศวันหยุด
บริษัท อินโนเวชั่น ลิฟวิ่ง จำกัด
ขอแจ้งวันหยุดยาวเนื่องในวันทางศาสนา
วันอาสาฬหบูชาและวันเข้าพรรษา
ตั้งแต่วันพฤหัสบดีที่ 10-12 กรกฎาคม 2568
เปิดทำการปกติ วันจันทร์ที่ 14 กรกภาคม 2568"
User,Thitima42 ♾️,2025/07/09,20:31:06,😊
Account,Unknown,2025/07/14,15:52:03,Test From Omoo
